"행정구역","2023년10월_계_총인구수","2023년10월_계_연령구간인구수","2023년10월_계_0~9세","2023년10월_계_10~19세","2023년10월_계_20~29세","2023년10월_계_30~39세","2023년10월_계_40~49세","2023년10월_계_50~59세","2023년10월_계_60~69세","2023년10월_계_70~79세","2023년10월_계_80~89세","2023년10월_계_90~99세","2023년10월_계_100세 이상"
"부산광역시 서구 부민동(2614059000)","7,386","7,386","325","557","1,523","834","916","1,043","1,154","653","340","39","2"
"부산광역시 서구 아미동(2614061500)","6,170","6,170","85","217","709","497","605","977","1,401","1,032","567","78","2"
"부산광역시 서구 초장동(2614063000)","3,936","3,936","87","141","324","272","447","659","921","644","400","41","0"
"부산광역시 서구 충무동(2614064000)","9,621","9,621","381","463","1,299","1,037","1,178","1,577","1,884","1,190","557","54","1"
"부산광역시 서구 남부민제1동(2614065000)","4,556","4,556","101","148","365","375","464","790","1,086","777","401","48","1"
"부산광역시 서구 남부민제2동(2614066000)","8,189","8,189","177","396","655","591","919","1,382","1,915","1,429","651","73","1"
"부산광역시 서구 암남동(2614068000)","15,083","15,083","812","1,098","1,737","1,543","1,997","2,506","2,981","1,621","691","97","0"
"부산광역시 동구 (2617000000)","88,008","88,008","4,003","4,713","9,416","11,031","11,492","14,120","16,136","10,882","5,543","658","14"
"부산광역시 동구 초량제1동(2617051000)","4,855","4,855","129","256","653","554","637","821","880","609","289","27","0"
"부산광역시 동구 초량제2동(2617052000)","5,314","5,314","121","232","515","491","622","906","1,126","852","391","57","1"
"부산광역시 동구 초량제3동(2617053000)","12,518","12,518","1,158","828","1,716","2,354","2,087","1,761","1,487","737","338","48","4"
"부산광역시 동구 초량제6동(2617055000)","5,450","5,450","112","326","455","424","628","914","1,126","887","508","69","1"
"부산광역시 동구 수정제1동(2617056000)","3,952","3,952","150","282","432","359","536","639","699","560","258","37","0"
"부산광역시 동구 수정제2동(2617057000)","9,219","9,219","325","501","895","1,069","1,099","1,501","1,842","1,313","615","59","0"
"부산광역시 동구 수정제4동(2617059000)","3,561","3,561","64","144","278","251","343","613","756","647","423","42","0"
"부산광역시 동구 수정제5동(2617060000)","4,863","4,863","93","273","412","322","544","840","1,040","845","435","58","1"
"부산광역시 동구 좌천동(2617064500)","11,384","11,384","459","585","1,218","1,286","1,446","1,870","2,170","1,482","787","78","3"
"부산광역시 동구 범일제1동(2617065000)","11,031","11,031","274","499","1,034","1,092","1,244","1,821","2,481","1,590","894","101","1"
"부산광역시 동구 범일제2동(2617066000)","7,575","7,575","298","333","954","1,071","970","1,331","1,469","769","338","42","0"
"부산광역시 동구 범일제5동(2617068000)","8,286","8,286","820","454","854","1,758","1,336","1,103","1,060","591","267","40","3"
"부산광역시 영도구 (2620000000)","106,816","106,816","4,397","6,718","9,878","9,678","13,695","17,694","22,131","14,756","7,077","772","20"
"부산광역시 영도구 남항동(2620053000)","10,358","10,358","322","457","923","933","1,257","1,764","2,252","1,552","800","97","1"
"부산광역시 영도구 영선제1동(2620054000)","3,720","3,720","150","211","321","302","438","605","847","557","255","33","1"
"부산광역시 영도구 영선제2동(2620055000)","7,589","7,589","280","455","678","665","873","1,253","1,580","1,169","571","64","1"
"부산광역시 영도구 신선동(2620058500)","7,446","7,446","136","348","542","482","809","1,300","1,681","1,332","738","78","0"
"부산광역시 영도구 봉래제1동(2620059000)","6,324","6,324","248","364","530","572","816","961","1,432","913","429","57","2"
"부산광역시 영도구 봉래제2동(2620060500)","7,384","7,384","440","494","605","729","1,065","1,228","1,307","951","526","38","1"
"부산광역시 영도구 청학제1동(2620063000)","5,569","5,569","240","361","431","466","788","868","1,159","812","401","43","0"
"부산광역시 영도구 청학제2동(2620064000)","16,861","16,861","756","1,247","1,534","1,555","2,295","2,875","3,377","2,156","959","105","2"
"부산광역시 영도구 동삼제1동(2620065000)","27,657","27,657","1,272","2,031","2,966","2,718","3,635","4,694","5,474","3,236","1,459","166","6"
"부산광역시 영도구 동삼제2동(2620066000)","4,938","4,938","348","348","698","579","752","705","756","534","199","18","1"
"부산광역시 영도구 동삼제3동(2620067000)","8,970","8,970","205","402","650","677","967","1,441","2,266","1,544","740","73","5"
"부산광역시 부산진구 (2623000000)","359,329","359,329","19,608","24,018","49,700","49,962","49,837","55,952","59,197","33,553","15,695","1,773","34"
"부산광역시 부산진구 부전제1동(2623051000)","15,783","15,783","546","500","3,754","2,662","1,691","2,224","2,420","1,311","603","71","1"
"부산광역시 부산진구 부전제2동(2623052000)","11,496","11,496","661","505","2,752","2,209","1,560","1,547","1,365","608","253","34","2"
"부산광역시 부산진구 연지동(2623054000)","25,765","25,765","2,163","2,248","2,271","3,298","4,086","3,984","4,099","2,393","1,098","123","2"
"부산광역시 부산진구 초읍동(2623055000)","20,755","20,755","1,028","1,458","1,822","2,018","2,826","3,405","3,969","2,777","1,307","143","2"
"부산광역시 부산진구 양정제1동(2623056000)","19,142","19,142","918","1,277","2,567","2,375","2,563","3,359","3,210","1,830","920","120","3"
"부산광역시 부산진구 양정제2동(2623057000)","13,828","13,828","797","632","2,918","2,770","1,910","1,680","1,600","983","493","44","1"
"부산광역시 부산진구 전포제1동(2623060000)","20,917","20,917","1,265","1,188","4,414","4,185","2,974","2,556","2,256","1,310","682","85","2"
"부산광역시 부산진구 전포제2동(2623061000)","23,372","23,372","1,146","1,306","3,434","3,834","3,191","3,263","3,616","2,305","1,153","122","2"
"부산광역시 부산진구 부암제1동(2623064000)","23,552","23,552","1,725","1,864","2,640","3,372","3,723","3,743","3,534","1,974","862","112","3"
"부산광역시 부산진구 부암제3동(2623066000)","16,528","16,528","791","1,718","1,673","1,373","2,475","3,049","3,078","1,580","721","69","1"
"부산광역시 부산진구 당감제1동(2623067000)","21,583","21,583","827","1,667","2,298","2,081","2,843","3,994","4,289","2,316","1,118","147","3"
"부산광역시 부산진구 당감제2동(2623068000)","10,688","10,688","734","725","1,209","1,638","1,586","1,513","1,777","1,023","450","33","0"
"부산광역시 부산진구 당감제4동(2623070000)","10,731","10,731","537","812","1,012","1,115","1,483","2,038","2,031","1,119","532","51","1"
"부산광역시 부산진구 가야제1동(2623071000)","17,245","17,245","573","1,051","2,569","1,843","2,264","2,771","3,321","1,928","849","76","0"
"부산광역시 부산진구 가야제2동(2623072000)","18,299","18,299","1,119","1,436","2,013","2,202","2,537","2,882","3,217","1,984","814","91","4"
"부산광역시 부산진구 개금제1동(2623074000)","18,259","18,259","1,204","1,132","3,263","2,884","2,678","2,689","2,400","1,327","622","59","1"
"부산광역시 부산진구 개금제2동(2623075000)","10,229","10,229","429","737","1,328","975","1,279","1,741","1,950","1,178","562","49","1"
"부산광역시 부산진구 개금제3동(2623076000)","27,147","27,147","1,388","2,206","2,866","2,925","3,673","4,814","5,453","2,524","1,130","165","3"
"부산광역시 부산진구 범천제1동(2623077000)","12,324","12,324","470","469","2,500","2,544","1,551","1,646","1,668","913","502","60","1"
"부산광역시 부산진구 범천제2동(2623078000)","21,686","21,686","1,287","1,087","2,397","3,659","2,944","3,054","3,944","2,170","1,024","119","1"
"부산광역시 동래구 (2626000000)","271,670","271,670","18,472","25,519","28,730","31,731","43,529","43,829","43,264","24,904","10,418","1,247","27"
"부산광역시 동래구 수민동(2626051000)","31,045","31,045","2,125","2,675","3,150","3,814","4,734","4,993","5,128","2,997","1,270","157","2"
"부산광역시 동래구 복산동(2626052000)","8,630","8,630","244","511","755","739","994","1,461","1,921","1,265","651","88","1"
"부산광역시 동래구 명륜동(2626054500)","26,447","26,447","2,401","3,609","2,447","2,898","5,298","4,280","3,018","1,644","767","84","1"
"부산광역시 동래구 온천제1동(2626055000)","24,298","24,298","1,475","1,429","3,611","4,218","3,814","3,677","3,177","1,842","949","102","4"
"부산광역시 동래구 온천제2동(2626056000)","24,437","24,437","2,664","2,414","2,099","3,243","4,200","3,446","3,309","1,976","936","147","3"
"부산광역시 동래구 온천제3동(2626057000)","36,984","36,984","2,145","2,623","4,778","4,762","5,222","6,193","6,205","3,523","1,386","144","3"
"부산광역시 동래구 사직제1동(2626058000)","10,199","10,199","630","1,009","1,072","1,144","1,667","1,613","1,517","1,004","491","52","0"
"부산광역시 동래구 사직제2동(2626059000)","25,255","25,255","1,988","3,900","2,554","2,134","4,929","4,442","3,143","1,560","530","72","3"
"부산광역시 동래구 사직제3동(2626060000)","17,043","17,043","1,205","1,997","1,601","1,632","3,182","2,556","2,537","1,594","672","65","2"
"부산광역시 동래구 안락제1동(2626074000)","13,785","13,785","642","892","1,363","1,442","1,833","2,244","2,868","1,714","706","80","1"
"부산광역시 동래구 안락제2동(2626075000)","25,978","25,978","1,444","2,537","2,642","2,696","3,906","4,458","4,684","2,561","933","115","2"
"부산광역시 동래구 명장제1동(2626076100)","13,604","13,604","825","1,033","1,237","1,464","1,972","2,178","2,661","1,586","572","71","5"
"부산광역시 동래구 명장제2동(2626076200)","13,965","13,965","684","890","1,421","1,545","1,778","2,288","3,096","1,638","555","70","0"
"부산광역시 남구 (2629000000)","254,455","254,455","14,211","22,101","32,402","26,560","37,987","41,258","41,212","25,760","11,665","1,268","31"
"부산광역시 남구 대연제1동(2629051000)","15,466","15,466","340","873","3,733","1,704","1,745","2,222","2,268","1,660","839","82","0"
"부산광역시 남구 대연제3동(2629053000)","33,092","33,092","2,247","3,376","7,098","3,790","5,328","4,707","3,614","1,935","866","129","2"
"부산광역시 남구 대연제4동(2629054000)","12,582","12,582","981","938","1,036","1,613","1,944","1,790","2,119","1,434","651","73","3"
"부산광역시 남구 대연제5동(2629055000)","16,675","16,675","807","1,337","2,825","1,820","2,409","2,541","2,422","1,642","786","85","1"
"부산광역시 남구 대연제6동(2629056000)","14,804","14,804","1,415","1,704","1,442","1,723","2,730","2,253","1,873","1,111","491","60","2"
"부산광역시 남구 용호제1동(2629057000)","42,931","42,931","2,699","4,827","4,313","3,571","6,961","7,860","6,857","3,818","1,798","221","6"
"부산광역시 남구 용호제2동(2629058000)","19,514","19,514","1,424","1,975","1,756","2,185","3,247","3,004","3,196","1,931","697","98","1"
"부산광역시 남구 용호제3동(2629059000)","11,381","11,381","340","750","1,113","960","1,383","1,946","2,412","1,722","688","64","3"
"부산광역시 남구 용호제4동(2629060000)","7,787","7,787","336","571","757","797","1,163","1,254","1,513","962","391","41","2"
"부산광역시 남구 용당동(2629061000)","7,890","7,890","393","682","913","705","1,112","1,473","1,429","813","332","38","0"
"부산광역시 남구 감만제1동(2629062000)","9,070","9,070","377","716","853","909","1,291","1,555","1,806","1,074","453","36","0"
"부산광역시 남구 감만제2동(2629063000)","6,552","6,552","193","404","566","501","829","1,127","1,362","1,011","508","51","0"
"부산광역시 남구 우암동(2629064500)","12,346","12,346","438","824","1,065","1,055","1,596","1,975","2,689","1,835","773","94","2"
"부산광역시 남구 문현제1동(2629068000)","11,088","11,088","481","939","1,196","924","1,545","2,095","2,033","1,272","559","43","1"
"부산광역시 남구 문현제2동(2629069000)","7,905","7,905","274","337","1,082","1,230","1,045","1,145","1,325","884","531","47","5"
"부산광역시 남구 문현제3동(2629070000)","16,440","16,440","1,114","1,353","1,695","2,049","2,547","2,745","2,556","1,576","736","67","2"
"부산광역시 남구 문현제4동(2629071000)","8,932","8,932","352","495","959","1,024","1,112","1,566","1,738","1,080","566","39","1"
"부산광역시 북구 (2632000000)","274,481","274,481","16,227","21,403","30,548","32,607","37,297","49,039","51,543","24,259","10,280","1,237","41"
"부산광역시 북구 구포제1동(2632051000)","15,631","15,631","852","735","1,805","2,184","1,912","2,648","3,249","1,551","630","60","5"
"부산광역시 북구 구포제2동(2632052000)","23,875","23,875","1,027","1,580","2,731","2,831","3,053","4,486","4,942","2,226","911","83","5"
"부산광역시 북구 구포제3동(2632052100)","18,485","18,485","581","1,280","2,266","1,723","2,297","3,851","3,988","1,759","661","77","2"
"부산광역시 북구 금곡동(2632053000)","35,959","35,959","1,592","2,612","3,525","3,460","4,338","6,680","7,390","3,890","2,193","275","4"
"부산광역시 북구 화명제1동(2632054100)","40,255","40,255","3,458","4,165","4,726","5,018","6,024","7,536","6,398","2,106","729","91","4"
"부산광역시 북구 화명제2동(2632054200)","17,338","17,338","1,219","1,362","2,092","2,224","2,213","3,253","2,992","1,320","580","82","1"
"부산광역시 북구 화명제3동(2632054300)","28,624","28,624","2,022","3,517","3,473","2,961","4,667","5,446","3,648","1,905","869","111","5"
"부산광역시 북구 덕천제1동(2632055000)","11,888","11,888","485","494","1,356","1,604","1,387","1,884","2,499","1,430","660","84","5"
"부산광역시 북구 덕천제2동(2632056000)","11,314","11,314","314","510","1,445","1,432","1,308","1,952","2,485","1,234","553","78","3"
"부산광역시 북구 덕천제3동(2632056100)","10,158","10,158","321","582","1,157","973","1,280","1,726","2,140","1,321","585","70","3"
"부산광역시 북구 만덕제1동(2632057100)","16,449","16,449","1,424","1,006","1,484","2,862","2,412","2,360","2,952","1,425","489","35","0"
"부산광역시 북구 만덕제2동(2632057200)","26,686","26,686","2,019","2,305","2,654","3,355","4,026","4,263","4,845","2,326","782","111","0"
"부산광역시 북구 만덕제3동(2632057300)","17,819","17,819","913","1,255","1,834","1,980","2,380","2,954","4,015","1,766","638","80","4"
"부산광역시 해운대구 (2635000000)","381,466","381,466","23,407","35,582","40,857","41,865","59,844","67,247","61,969","33,319","15,301","2,017","58"
"부산광역시 해운대구 우제1동(2635051000)","22,173","22,173","1,170","1,606","2,558","2,829","3,251","3,783","3,693","2,224","935","121","3"
"부산광역시 해운대구 우제2동(2635052000)","30,079","30,079","2,439","3,113","2,988","3,416","4,992","5,379","4,285","2,266","1,055","141","5"
"부산광역시 해운대구 우제3동(2635052500)","27,995","27,995","2,567","3,193","2,374","2,847","4,992","4,625","4,226","2,103","917","145","6"
"부산광역시 해운대구 중제1동(2635053000)","27,227","27,227","2,025","2,511","3,078","3,344","4,611","4,841","3,749","2,002","953","107","6"
"부산광역시 해운대구 중제2동(2635054000)","15,176","15,176","1,097","1,163","1,383","1,907","2,595","2,635","2,627","1,227","466","75","1"
"부산광역시 해운대구 좌제1동(2635055100)","17,421","17,421","936","1,924","2,428","1,965","2,786","3,258","2,230","1,075","718","98","3"
"부산광역시 해운대구 좌제2동(2635055200)","30,808","30,808","1,671","2,575","4,320","4,335","4,502","5,500","4,495","2,064","1,165","177","4"
"부산광역시 해운대구 좌제3동(2635055300)","15,367","15,367","886","1,574","1,612","1,552","2,157","2,863","2,491","1,285","809","134","4"
"부산광역시 해운대구 좌제4동(2635055400)","22,305","22,305","1,456","2,726","2,531","2,349","3,543","4,240","3,093","1,428","824","108","7"
"부산광역시 해운대구 송정동(2635056000)","9,407","9,407","368","492","886","1,086","1,227","1,558","2,005","1,148","566","70","1"
"부산광역시 해운대구 반여제1동(2635057000)","34,519","34,519","2,289","3,864","3,870","3,586","5,620","6,367","5,158","2,573","1,050","140","2"
"부산광역시 해운대구 반여제2동(2635058000)","11,809","11,809","379","498","1,077","1,284","1,515","2,095","2,556","1,595","723","86","1"
"부산광역시 해운대구 반여제3동(2635059000)","7,938","7,938","159","349","777","663","918","1,459","1,880","1,116","559","58","0"
"부산광역시 해운대구 반여제4동(2635059500)","14,958","14,958","986","1,439","1,629","1,652","2,323","2,716","2,605","1,195","366","47","0"
"부산광역시 해운대구 반송제1동(2635061000)","12,774","12,774","268","558","1,260","992","1,404","2,331","2,802","2,023","1,026","110","0"
"부산광역시 해운대구 반송제2동(2635062000)","21,670","21,670","648","1,199","1,794","1,647","2,572","3,707","5,008","3,373","1,531","183","8"
"부산광역시 해운대구 재송제1동(2635065000)","36,908","36,908","3,203","5,013","3,739","3,929","7,487","5,767","4,507","2,345","812","103","3"
"부산광역시 해운대구 재송제2동(2635066000)","22,932","22,932","860","1,785","2,553","2,482","3,349","4,123","4,559","2,277","826","114","4"
"부산광역시 사하구 (2638000000)","298,815","298,815","15,873","23,716","34,249","32,962","42,856","51,203","55,062","29,402","12,020","1,434","38"
"부산광역시 사하구 괴정제1동(2638051000)","18,271","18,271","773","1,383","1,915","1,817","2,428","3,024","3,562","2,189","1,039","134","7"
"부산광역시 사하구 괴정제2동(2638052000)","15,224","15,224","905","1,192","1,546","1,683","2,229","2,463","2,726","1,741","673","65","1"
"부산광역시 사하구 괴정제3동(2638053000)","11,676","11,676","373","665","1,162","1,237","1,397","1,950","2,552","1,555","709","76","0"
"부산광역시 사하구 괴정제4동(2638054000)","15,171","15,171","1,146","1,354","1,497","1,860","2,424","2,364","2,495","1,418","553","57","3"
"부산광역시 사하구 당리동(2638055000)","24,478","24,478","1,152","2,035","2,635","2,497","3,466","4,184","4,811","2,529","1,037","131","1"
"부산광역시 사하구 하단제1동(2638056100)","21,456","21,456","964","1,534","3,378","2,846","2,897","3,431","3,673","1,870","761","99","3"
"부산광역시 사하구 하단제2동(2638056200)","25,143","25,143","1,134","1,863","5,277","3,045","3,247","3,880","3,842","1,991","780","79","5"
"부산광역시 사하구 신평제1동(2638057100)","15,839","15,839","873","985","1,421","1,696","2,275","2,866","3,209","1,731","715","67","1"
"부산광역시 사하구 신평제2동(2638057200)","17,319","17,319","1,142","1,368","1,928","2,453","2,552","2,999","3,074","1,310","429","63","1"
"부산광역시 사하구 장림제1동(2638058000)","10,193","10,193","685","922","885","1,127","1,850","1,712","1,660","979","341","32","0"
"부산광역시 사하구 장림제2동(2638059000)","26,155","26,155","1,427","2,310","2,870","3,025","4,087","4,643","4,667","2,272","776","74","4"
"부산광역시 사하구 다대제1동(2638060100)","36,853","36,853","2,128","3,604","3,772","3,529","5,629","6,813","6,535","3,239","1,417","184","3"
"부산광역시 사하구 다대제2동(2638060200)","25,855","25,855","1,238","2,103","2,703","2,192","3,514","4,896","5,285","2,631","1,119","172","2"
"부산광역시 사하구 구평동(2638061000)","12,459","12,459","1,225","978","1,185","2,107","2,066","1,915","1,871","831","238","42","1"
"부산광역시 사하구 감천제1동(2638062000)","17,303","17,303","601","1,229","1,677","1,511","2,208","3,077","3,888","2,152","866","93","1"
"부산광역시 사하구 감천제2동(2638063000)","5,420","5,420","107","191","398","337","587","986","1,212","964","567","66","5"
"부산광역시 금정구 (2641000000)","216,770","216,770","10,075","16,150","28,669","22,110","28,530","36,198","39,787","23,307","10,593","1,316","35"
"부산광역시 금정구 서제1동(2641051000)","4,703","4,703","49","170","367","351","549","826","1,235","742","377","37","0"
"부산광역시 금정구 서제2동(2641052000)","8,556","8,556","230","406","820","807","953","1,564","2,160","1,124","447","44","1"
"부산광역시 금정구 서제3동(2641053000)","10,480","10,480","262","419","951","989","1,165","1,879","2,557","1,530","666","61","1"
"부산광역시 금정구 금사회동동(2641055500)","7,355","7,355","189","287","590","670","842","1,286","1,858","1,156","434","42","1"
"부산광역시 금정구 부곡제1동(2641057000)","7,708","7,708","230","390","646","675","946","1,216","1,718","1,256","561","70","0"
"부산광역시 금정구 부곡제2동(2641058000)","17,229","17,229","798","1,430","2,388","1,767","2,464","2,989","2,880","1,600","814","96","3"
"부산광역시 금정구 부곡제3동(2641059000)","15,139","15,139","870","1,297","1,880","1,778","2,113","2,540","2,551","1,395","610","102","3"
"부산광역시 금정구 부곡제4동(2641059100)","12,028","12,028","398","674","1,232","1,225","1,500","2,087","2,556","1,655","641","57","3"
"부산광역시 금정구 장전제1동(2641060000)","17,991","17,991","646","1,247","6,149","1,858","2,015","2,094","2,037","1,269","598","75","3"
"부산광역시 금정구 장전제2동(2641061000)","25,790","25,790","2,220","2,566","2,888","3,125","4,540","3,682","3,412","2,155","1,037","161","4"
"부산광역시 금정구 선두구동(2641063500)","2,145","2,145","57","75","154","169","190","404","574","327","169","24","2"
"부산광역시 금정구 청룡노포동(2641066500)","9,511","9,511","404","670","882","863","1,057","1,652","1,956","1,308","645","70","4"
"부산광역시 금정구 남산동(2641067000)","26,830","26,830","825","1,676","3,869","2,620","2,976","4,846","5,291","3,078","1,472","171","6"
"부산광역시 금정구 구서제1동(2641068000)","18,892","18,892","1,086","1,792","2,153","2,066","2,831","3,347","3,107","1,648","774","88","0"
"부산광역시 금정구 구서제2동(2641069000)","31,469","31,469","1,770","2,942","3,640","3,096","4,255","5,644","5,680","2,933","1,298","207","4"
"부산광역시 금정구 금성동(2641070000)","944","944","41","109","60","51","134","142","215","131","50","11","0"
"부산광역시 강서구 (2644000000)","142,777","142,777","17,511","14,853","11,437","23,555","28,661","17,234","17,756","8,083","3,204","476","7"
"부산광역시 강서구 대저1동(2644051000)","5,959","5,959","123","238","440","503","575","970","1,583","1,009","449","68","1"
"부산광역시 강서구 대저2동(2644052000)","6,709","6,709","385","436","737","874","832","941","1,364","725","360","54","1"
"부산광역시 강서구 강동동(2644053000)","3,967","3,967","59","114","227","302","301","673","1,261","688","289","52","1"
"부산광역시 강서구 명지1동(2644053500)","54,389","54,389","9,060","5,879","4,071","11,537","11,903","5,044","4,460","1,776","569","88","2"
"부산광역시 강서구 명지2동(2644054500)","30,153","30,153","4,028","4,868","2,355","3,717","7,230","3,738","2,755","1,049","362","50","1"
"부산광역시 강서구 가락동(2644055000)","2,167","2,167","23","56","112","157","172","377","609","406","225","30","0"
"부산광역시 강서구 녹산동(2644056000)","35,124","35,124","3,708","3,123","3,185","6,056","7,158","4,692","4,533","1,867","705","97","0"
"부산광역시 강서구 가덕도동(2644058000)","4,309","4,309","125","139","310","409","490","799","1,191","563","245","37","1"
"부산광역시 연제구 (2647000000)","203,004","203,004","12,144","15,911","22,903","25,422","30,373","32,837","33,801","19,903","8,744","946","20"
"부산광역시 연제구 거제제1동(2647061000)","28,213","28,213","1,965","3,370","3,064","2,500","4,905","4,936","3,755","2,465","1,136","112","5"
"부산광역시 연제구 거제제2동(2647062000)","12,652","12,652","859","1,682","1,315","1,186","2,264","2,174","1,701","987","442","41","1"
"부산광역시 연제구 거제제3동(2647063000)","9,508","9,508","382","585","1,018","972","1,128","1,544","1,766","1,289","728","95","1"
"부산광역시 연제구 거제제4동(2647064000)","9,741","9,741","482","933","1,014","933","1,385","1,741","1,790","974","423","63","3"
"부산광역시 연제구 연산제1동(2647065000)","16,246","16,246","1,053","1,316","1,550","1,984","2,515","2,569","2,921","1,633","635","68","2"
"부산광역시 연제구 연산제2동(2647066000)","21,396","21,396","1,799","1,329","2,453","3,765","3,195","3,117","3,002","1,811","840","84","1"
"부산광역시 연제구 연산제3동(2647067000)","10,666","10,666","796","544","932","1,610","1,557","1,600","1,938","1,165","489","35","0"
"부산광역시 연제구 연산제4동(2647068000)","15,528","15,528","472","869","2,046","1,817","2,020","2,429","3,153","1,847","788","85","2"
"부산광역시 연제구 연산제5동(2647069000)","16,692","16,692","630","621","3,207","3,295","2,276","2,383","2,300","1,319","609","52","0"
"부산광역시 연제구 연산제6동(2647070000)","15,776","15,776","858","917","1,544","1,954","2,142","2,402","2,953","1,962","944","99","1"
"부산광역시 연제구 연산제8동(2647072000)","13,462","13,462","982","1,086","1,220","1,574","2,157","2,190","2,429","1,317","455","52","0"
"부산광역시 연제구 연산제9동(2647073000)","33,124","33,124","1,866","2,659","3,540","3,832","4,829","5,752","6,093","3,134","1,255","160","4"
"부산광역시 수영구 (2650000000)","174,994","174,994","9,154","11,516","22,451","23,658","24,450","26,701","29,099","18,634","8,246","1,060","25"
"부산광역시 수영구 남천제1동(2650066000)","16,084","16,084","998","1,336","1,917","2,082","2,349","2,672","2,418","1,467","733","110","2"
"부산광역시 수영구 남천제2동(2650067000)","13,390","13,390","882","1,275","1,332","1,379","2,031","2,397","2,260","1,227","513","91","3"
"부산광역시 수영구 수영동(2650073000)","14,113","14,113","473","595","1,626","1,631","1,675","2,094","2,827","2,103","984","104","1"
"부산광역시 수영구 망미제1동(2650074000)","26,540","26,540","1,413","1,914","2,509","2,920","3,663","3,995","5,062","3,348","1,489","224","3"
"부산광역시 수영구 망미제2동(2650075000)","10,118","10,118","513","713","984","1,168","1,414","1,664","1,891","1,250","463","57","1"
"부산광역시 수영구 광안제1동(2650076000)","25,533","25,533","957","1,463","4,865","4,281","3,327","3,395","3,694","2,372","1,046","131","2"
"부산광역시 수영구 광안제2동(2650077000)","18,512","18,512","879","1,254","2,752","2,738","2,772","2,668","2,678","1,810","857","94","10"
"부산광역시 수영구 광안제3동(2650078000)","9,488","9,488","198","374","1,903","1,579","1,104","1,229","1,518","1,074","459","49","1"
"부산광역시 수영구 광안제4동(2650079000)","13,402","13,402","833","872","1,560","1,912","2,018","2,083","2,037","1,333","685","68","1"
"부산광역시 수영구 민락동(2650080000)","27,814","27,814","2,008","1,720","3,003","3,968","4,097","4,504","4,714","2,650","1,017","132","1"
"부산광역시 사상구 (2653000000)","203,445","203,445","9,596","13,868","25,193","24,053","26,728","36,346","40,284","19,370","7,209","774","24"
"부산광역시 사상구 삼락동(2653058000)","5,269","5,269","169","251","456","487","548","1,075","1,271","708","273","30","1"
"부산광역시 사상구 모라제1동(2653059100)","26,508","26,508","1,226","1,812","2,828","3,048","3,414","4,716","5,695","2,690","982","94","3"
"부산광역시 사상구 모라제3동(2653059300)","9,431","9,431","168","326","579","570","976","1,704","2,447","1,735","832","90","4"
"부산광역시 사상구 덕포제1동(2653060000)","11,224","11,224","789","737","1,167","1,635","1,530","1,925","2,014","996","389","40","2"
"부산광역시 사상구 덕포제2동(2653061000)","12,166","12,166","539","849","1,372","1,274","1,545","2,240","2,657","1,250","387","52","1"
"부산광역시 사상구 괘법동(2653062000)","24,462","24,462","921","979","4,806","4,014","2,843","3,980","4,395","1,853","597","71","3"
"부산광역시 사상구 감전동(2653064500)","12,251","12,251","344","554","1,268","1,355","1,446","2,344","2,862","1,453","573","49","3"
"부산광역시 사상구 주례제1동(2653065000)","16,626","16,626","1,085","1,148","1,894","2,271","2,167","2,992","3,161","1,373","476","57","2"
"부산광역시 사상구 주례제2동(2653066000)","21,909","21,909","969","1,773","3,923","2,706","2,947","3,474","3,578","1,762","705","70","2"
"부산광역시 사상구 주례제3동(2653066100)","12,280","12,280","527","934","1,477","1,313","1,552","2,201","2,476","1,243","493","64","0"
"부산광역시 사상구 학장동(2653067000)","26,683","26,683","1,285","2,079","2,692","2,680","3,945","4,910","5,462","2,606","920","102","2"
"부산광역시 사상구 엄궁동(2653068000)","24,636","24,636","1,574","2,426","2,731","2,700","3,815","4,785","4,266","1,701","582","55","1"
"부산광역시 기장군 (2671000000)","179,084","179,084","15,884","19,041","16,466","22,280","33,578","26,614","23,825","14,161","6,318","887","30"
"부산광역시 기장군 기장읍(2671025000)","52,280","52,280","2,738","3,921","5,651","5,870","7,461","9,325","8,852","5,400","2,694","356","12"
"부산광역시 기장군 장안읍(2671025300)","8,857","8,857","376","405","916","993","1,063","1,562","1,817","1,048","579","93","5"
"부산광역시 기장군 정관읍(2671025600)","80,600","80,600","9,076","11,897","6,516","10,004","19,026","10,231","7,323","4,608","1,671","242","6"
"부산광역시 기장군 일광읍(2671025900)","29,655","29,655","3,426","2,401","2,823","4,849","5,157","4,213","3,994","1,863","802","122","5"
"부산광역시 기장군 철마면(2671033000)","7,692","7,692","268","417","560","564","871","1,283","1,839","1,242","572","74","2"
"대구광역시  (2700000000)","2,376,978","2,376,978","151,519","214,802","284,674","280,349","358,107","418,594","365,584","194,427","96,426","12,239","257"
"대구광역시 중구 (2711000000)","87,387","87,387","6,538","6,109","12,553","14,068","12,706","12,570","11,000","7,346","3,933","547","17"
"대구광역시 중구 동인동(2711051700)","8,321","8,321","300","461","1,324","1,368","985","1,237","1,201","865","493","84","3"
"대구광역시 중구 삼덕동(2711054500)","6,556","6,556","337","415","1,726","1,250","894","721","619","363","203","27","1"
"대구광역시 중구 성내1동(2711056500)","4,885","4,885","100","193","1,529","870","500","546","529","370","207","39","2"
"대구광역시 중구 성내2동(2711057500)","5,086","5,086","218","250","1,036","810","558","699","723","507","253","31","1"
"대구광역시 중구 성내3동(2711058500)","8,237","8,237","1,070","486","777","1,869","1,360","999","915","500","238","23","0"
