"행정구역","2023년10월_계_총인구수","2023년10월_계_연령구간인구수","2023년10월_계_0~9세","2023년10월_계_10~19세","2023년10월_계_20~29세","2023년10월_계_30~39세","2023년10월_계_40~49세","2023년10월_계_50~59세","2023년10월_계_60~69세","2023년10월_계_70~79세","2023년10월_계_80~89세","2023년10월_계_90~99세","2023년10월_계_100세 이상"
"서울특별시 용산구 한남동(1117068500)","18,508","18,508","1,031","1,059","2,132","3,349","3,004","2,961","2,637","1,464","754","116","1"
"서울특별시 용산구 서빙고동(1117069000)","12,460","12,460","677","1,365","1,573","1,441","2,171","2,160","1,616","750","593","109","5"
"서울특별시 용산구 보광동(1117070000)","12,085","12,085","282","591","1,677","1,917","1,627","2,175","2,061","1,072","592","88","3"
"서울특별시 성동구 (1120000000)","278,035","278,035","17,117","17,968","41,315","45,592","41,134","44,355","38,693","20,293","10,289","1,235","44"
"서울특별시 성동구 왕십리제2동(1120052000)","16,151","16,151","1,083","1,054","2,209","2,803","2,369","2,618","2,242","1,164","529","79","1"
"서울특별시 성동구 왕십리도선동(1120053500)","26,309","26,309","1,990","1,625","4,088","4,441","3,921","4,286","3,277","1,667","886","125","3"
"서울특별시 성동구 마장동(1120054000)","21,657","21,657","984","1,442","4,101","3,169","2,647","3,417","3,187","1,706","895","108","1"
"서울특별시 성동구 사근동(1120055000)","12,008","12,008","336","704","4,946","1,599","1,049","1,278","985","680","406","25","0"
"서울특별시 성동구 행당제1동(1120056000)","13,702","13,702","859","981","2,173","2,228","2,046","2,182","1,744","927","492","61","9"
"서울특별시 성동구 행당제2동(1120057000)","22,910","22,910","1,586","1,866","2,611","3,419","3,614","3,963","3,073","1,785","887","102","4"
"서울특별시 성동구 응봉동(1120058000)","14,990","14,990","980","1,507","1,670","2,041","2,634","2,491","1,874","1,105","621","66","1"
"서울특별시 성동구 금호1가동(1120059000)","14,821","14,821","1,101","1,047","1,538","2,320","2,486","2,327","2,185","1,165","580","71","1"
"서울특별시 성동구 금호2.3가동(1120061500)","21,960","21,960","1,553","1,288","2,488","3,788","3,553","3,507","3,108","1,680","874","113","8"
"서울특별시 성동구 금호4가동(1120062000)","14,170","14,170","1,193","933","1,325","2,333","2,613","2,125","1,955","1,093","533","64","3"
"서울특별시 성동구 옥수동(1120064500)","25,390","25,390","2,308","1,604","2,466","4,520","4,425","3,817","3,421","1,772","925","128","4"
"서울특별시 성동구 성수1가제1동(1120065000)","15,470","15,470","832","918","2,216","2,840","2,042","2,775","2,423","935","435","51","3"
"서울특별시 성동구 성수1가제2동(1120066000)","12,005","12,005","599","752","1,777","2,309","1,761","1,844","1,653","852","410","48","0"
"서울특별시 성동구 성수2가제1동(1120067000)","14,617","14,617","581","725","1,894","2,411","1,888","2,555","2,724","1,220","555","63","1"
"서울특별시 성동구 성수2가제3동(1120069000)","10,099","10,099","459","491","1,671","1,833","1,332","1,579","1,491","803","399","39","2"
"서울특별시 성동구 송정동(1120072000)","9,772","9,772","392","488","1,444","1,552","1,332","1,693","1,719","779","334","38","1"
"서울특별시 성동구 용답동(1120079000)","12,004","12,004","281","543","2,698","1,986","1,422","1,898","1,632","960","528","54","2"
"서울특별시 광진구 (1121500000)","336,294","336,294","15,442","23,971","59,249","55,004","48,412","52,935","45,593","23,427","10,842","1,378","41"
